Brontype;Compartiment;Stof;Doelgroep;1990;1995;2000;2005;2008;2009;2010;
Doelgroep;Bodem;Loodverb. (als Pb);Overig;149900;113200;118700;69280;33670;23180;;
Doelgroep;Bodem;Loodverb. (als Pb);Landbouw;209200;40380;28640;20350;7131;7053;;
Doelgroep;Bodem;Loodverb. (als Pb);Handel, Diensten en Overheid (HDO);214200;214200;205200;6178;6178;6178;4000;
Doelgroep;Bodem;Loodverb. (als Pb);Verkeer en vervoer;2836;2913;2941;2807;2730;2697;2705;
Doelgroep;Bodem;Loodverb. (als Pb);Riolering en waterzuiveringsinstallaties;447,8;381,4;774,8;1121;1188;1195;;
Doelgroep;Bodem;Loodverb. (als Pb);Afvalverwijdering;572,4;477;435;435;435;435;435;
Doelgroep;Bodem;Loodverb. (als Pb);Consumenten;187,8;124,2;78,96;43,03;9,591;4,428;;
